tmpambiente,humedad,luz,tmpagua,timestamp,email,deviceid
11,28,66,10,2023-04-10 21:00:00,rodrinoya.1@gmail.com,htd2
11,26,63,10,2023-04-10 22:00:00,rodrinoya.1@gmail.com,htd2
11,25,70,8,2023-04-10 23:00:00,rodrinoya.1@gmail.com,htd2
10,25,45,6,2023-04-11 00:00:00,rodrinoya.1@gmail.com,htd2
10,26,37,8,2023-04-11 01:00:00,rodrinoya.1@gmail.com,htd2
11,28,41,9,2023-04-11 02:00:00,rodrinoya.1@gmail.com,htd2
11,29,46,10,2023-04-11 03:00:00,rodrinoya.1@gmail.com,htd2
13,27,56,11,2023-04-11 04:00:00,rodrinoya.1@gmail.com,htd2
14,29,60,12,2023-04-11 05:00:00,rodrinoya.1@gmail.com,htd2
16,29,57,14,2023-04-11 06:00:00,rodrinoya.1@gmail.com,htd2
16,29,46,14,2023-04-11 07:00:00,rodrinoya.1@gmail.com,htd2
16,31,207,14,2023-04-11 08:00:00,rodrinoya.1@gmail.com,htd2
18,29,220,15,2023-04-11 09:00:00,rodrinoya.1@gmail.com,htd2
20,30,239,16,2023-04-11 10:00:00,rodrinoya.1@gmail.com,htd2
20,32,263,18,2023-04-11 11:00:00,rodrinoya.1@gmail.com,htd2
22,32,291,18,2023-04-11 12:00:00,rodrinoya.1@gmail.com,htd2
21,32,299,17,2023-04-11 13:00:00,rodrinoya.1@gmail.com,htd2
18,30,320,16,2023-04-11 14:00:00,rodrinoya.1@gmail.com,htd2
19,30,339,15,2023-04-11 15:00:00,rodrinoya.1@gmail.com,htd2
16,29,367,16,2023-04-11 16:00:00,rodrinoya.1@gmail.com,htd2
16,30,378,15,2023-04-11 17:00:00,rodrinoya.1@gmail.com,htd2
14,30,405,14,2023-04-11 18:00:00,rodrinoya.1@gmail.com,htd2
15,27,76,11,2023-04-11 19:00:00,rodrinoya.1@gmail.com,htd2
12,28,58,10,2023-04-11 20:00:00,rodrinoya.1@gmail.com,htd2
12,27,72,10,2023-04-11 21:00:00,rodrinoya.1@gmail.com,htd2
11,26,65,10,2023-04-11 22:00:00,rodrinoya.1@gmail.com,htd2
9,27,62,9,2023-04-11 23:00:00,rodrinoya.1@gmail.com,htd2
8,25,40,6,2023-04-12 00:00:00,rodrinoya.1@gmail.com,htd2
9,27,37,7,2023-04-12 01:00:00,rodrinoya.1@gmail.com,htd2
10,28,42,10,2023-04-12 02:00:00,rodrinoya.1@gmail.com,htd2
12,29,61,10,2023-04-12 03:00:00,rodrinoya.1@gmail.com,htd2
14,27,53,10,2023-04-12 04:00:00,rodrinoya.1@gmail.com,htd2
15,28,43,12,2023-04-12 05:00:00,rodrinoya.1@gmail.com,htd2
14,28,42,14,2023-04-12 06:00:00,rodrinoya.1@gmail.com,htd2
15,29,63,13,2023-04-12 07:00:00,rodrinoya.1@gmail.com,htd2
16,30,214,14,2023-04-12 08:00:00,rodrinoya.1@gmail.com,htd2
19,30,226,15,2023-04-12 09:00:00,rodrinoya.1@gmail.com,htd2
20,31,253,16,2023-04-12 10:00:00,rodrinoya.1@gmail.com,htd2
20,32,280,19,2023-04-12 11:00:00,rodrinoya.1@gmail.com,htd2
22,31,300,18,2023-04-12 12:00:00,rodrinoya.1@gmail.com,htd2
21,31,299,18,2023-04-12 13:00:00,rodrinoya.1@gmail.com,htd2
20,31,319,16,2023-04-12 14:00:00,rodrinoya.1@gmail.com,htd2
17,31,347,15,2023-04-12 15:00:00,rodrinoya.1@gmail.com,htd2
16,30,371,16,2023-04-12 16:00:00,rodrinoya.1@gmail.com,htd2
17,31,396,14,2023-04-12 17:00:00,rodrinoya.1@gmail.com,htd2
15,29,413,13,2023-04-12 18:00:00,rodrinoya.1@gmail.com,htd2
14,29,58,11,2023-04-12 19:00:00,rodrinoya.1@gmail.com,htd2
12,29,69,10,2023-04-12 20:00:00,rodrinoya.1@gmail.com,htd2
11,27,81,11,2023-04-12 21:00:00,rodrinoya.1@gmail.com,htd2
11,28,57,8,2023-04-12 22:00:00,rodrinoya.1@gmail.com,htd2
11,25,81,9,2023-04-12 23:00:00,rodrinoya.1@gmail.com,htd2
9,27,42,6,2023-04-13 00:00:00,rodrinoya.1@gmail.com,htd2
9,25,39,8,2023-04-13 01:00:00,rodrinoya.1@gmail.com,htd2
11,27,51,9,2023-04-13 02:00:00,rodrinoya.1@gmail.com,htd2
11,28,60,11,2023-04-13 03:00:00,rodrinoya.1@gmail.com,htd2
14,28,48,11,2023-04-13 04:00:00,rodrinoya.1@gmail.com,htd2
14,29,50,11,2023-04-13 05:00:00,rodrinoya.1@gmail.com,htd2
14,30,56,13,2023-04-13 06:00:00,rodrinoya.1@gmail.com,htd2
15,30,55,14,2023-04-13 07:00:00,rodrinoya.1@gmail.com,htd2
16,29,210,16,2023-04-13 08:00:00,rodrinoya.1@gmail.com,htd2
17,29,231,15,2023-04-13 09:00:00,rodrinoya.1@gmail.com,htd2
18,32,235,16,2023-04-13 10:00:00,rodrinoya.1@gmail.com,htd2
21,31,261,18,2023-04-13 11:00:00,rodrinoya.1@gmail.com,htd2
21,31,288,18,2023-04-13 12:00:00,rodrinoya.1@gmail.com,htd2
19,33,299,17,2023-04-13 13:00:00,rodrinoya.1@gmail.com,htd2
19,30,339,18,2023-04-13 14:00:00,rodrinoya.1@gmail.com,htd2
18,29,353,17,2023-04-13 15:00:00,rodrinoya.1@gmail.com,htd2
16,30,363,14,2023-04-13 16:00:00,rodrinoya.1@gmail.com,htd2
15,29,400,15,2023-04-13 17:00:00,rodrinoya.1@gmail.com,htd2
14,29,406,13,2023-04-13 18:00:00,rodrinoya.1@gmail.com,htd2
15,28,56,12,2023-04-13 19:00:00,rodrinoya.1@gmail.com,htd2
13,27,62,11,2023-04-13 20:00:00,rodrinoya.1@gmail.com,htd2
12,27,61,10,2023-04-13 21:00:00,rodrinoya.1@gmail.com,htd2
10,28,81,10,2023-04-13 22:00:00,rodrinoya.1@gmail.com,htd2
9,26,66,7,2023-04-13 23:00:00,rodrinoya.1@gmail.com,htd2
8,25,55,6,2023-04-14 00:00:00,rodrinoya.1@gmail.com,htd2
9,25,55,8,2023-04-14 01:00:00,rodrinoya.1@gmail.com,htd2
11,26,60,8,2023-04-14 02:00:00,rodrinoya.1@gmail.com,htd2
12,28,52,11,2023-04-14 03:00:00,rodrinoya.1@gmail.com,htd2
13,29,62,11,2023-04-14 04:00:00,rodrinoya.1@gmail.com,htd2
13,27,51,11,2023-04-14 05:00:00,rodrinoya.1@gmail.com,htd2
14,30,64,14,2023-04-14 06:00:00,rodrinoya.1@gmail.com,htd2
17,30,65,15,2023-04-14 07:00:00,rodrinoya.1@gmail.com,htd2
16,29,202,15,2023-04-14 08:00:00,rodrinoya.1@gmail.com,htd2
17,30,240,16,2023-04-14 09:00:00,rodrinoya.1@gmail.com,htd2
18,30,249,16,2023-04-14 10:00:00,rodrinoya.1@gmail.com,htd2
19,32,275,19,2023-04-14 11:00:00,rodrinoya.1@gmail.com,htd2
20,31,290,20,2023-04-14 12:00:00,rodrinoya.1@gmail.com,htd2
21,32,313,19,2023-04-14 13:00:00,rodrinoya.1@gmail.com,htd2
20,31,320,17,2023-04-14 14:00:00,rodrinoya.1@gmail.com,htd2
17,29,343,17,2023-04-14 15:00:00,rodrinoya.1@gmail.com,htd2
16,31,378,14,2023-04-14 16:00:00,rodrinoya.1@gmail.com,htd2
16,31,380,15,2023-04-14 17:00:00,rodrinoya.1@gmail.com,htd2
15,30,419,12,2023-04-14 18:00:00,rodrinoya.1@gmail.com,htd2
14,29,61,11,2023-04-14 19:00:00,rodrinoya.1@gmail.com,htd2
13,29,59,10,2023-04-14 20:00:00,rodrinoya.1@gmail.com,htd2
12,28,73,10,2023-04-14 21:00:00,rodrinoya.1@gmail.com,htd2
11,26,67,9,2023-04-14 22:00:00,rodrinoya.1@gmail.com,htd2
10,26,63,9,2023-04-14 23:00:00,rodrinoya.1@gmail.com,htd2
9,25,56,8,2023-04-15 00:00:00,rodrinoya.1@gmail.com,htd2
11,25,44,7,2023-04-15 01:00:00,rodrinoya.1@gmail.com,htd2
11,28,43,8,2023-04-15 02:00:00,rodrinoya.1@gmail.com,htd2
11,29,40,10,2023-04-15 03:00:00,rodrinoya.1@gmail.com,htd2
14,29,47,11,2023-04-15 04:00:00,rodrinoya.1@gmail.com,htd2
13,29,43,11,2023-04-15 05:00:00,rodrinoya.1@gmail.com,htd2
15,28,60,14,2023-04-15 06:00:00,rodrinoya.1@gmail.com,htd2
17,31,67,13,2023-04-15 07:00:00,rodrinoya.1@gmail.com,htd2
17,29,211,15,2023-04-15 08:00:00,rodrinoya.1@gmail.com,htd2
18,29,229,16,2023-04-15 09:00:00,rodrinoya.1@gmail.com,htd2
20,32,241,18,2023-04-15 10:00:00,rodrinoya.1@gmail.com,htd2
21,33,260,19,2023-04-15 11:00:00,rodrinoya.1@gmail.com,htd2
